10000250	27256,6271
10047250	12132,3555
10052000	11696,22126,143
10054250	4667,19660
10064500	8269,29099,22583
10069500	8637,15322,7868
10095000	16624
10112000	6839
10212500	15959,24081,24788
10224750	11679,21393
10229250	24869,22179,8689,24541,23774
10234000	10970,9111,25086,19402,28653,15019,14261
1025250	13247
10257500	10893,4281
10261750	23896,5285,17061,23628,8278,14261
10297000	25058
10309250	18996,11734,15192,14942
10322250	1731,10702,18575
10401500	27791,13258,12189
10443000	23628,19466,10570,13460,14482
10492250	28752,20045,12606
10521000	18612,7868
10533750	17945,13451,24601,14261,19974
10539250	1461
10578000	26523,13778,20896,14073
10588000	14020,9295
10592750	13093
10598500	9563,155,24385,14165,7105
10609250	5330
10628500	13784,12013,3324,12159,27791,18075
1063000	22749,24196,24929,28481,22280,20551,530,15019,14165
10642000	20536,16754,10999,1966,7576,21334,9782,5053,23831,27625,26728,251,25427,7567
10653250	20180
10654750	12212
10696000	11022
10713250	11220
1074500	12606,16602
1074750	22556,12220
10756500	14942
10768750	19993
10773000	2257,2999,11889
10774750	1577,14942
10790500	7105
10818500	1038,5334
10831750	5640
1086750	1084,7868,18977
10944750	28752
10966250	251,17087
1104500	18678
11046750	7169
11078500	18024,9275
1110750	3458
11111500	4216
11121500	13049,8530,15799
11129250	949
11131750	882,29472
11137750	22447,24669,12068,19891,24869,934
11142000	17407
11158000	28876,21930,6738,26422,239
11169500	10014
1118250	10970,14794,19096,3068,26665
11220500	12285,11431
11283500	12220
11300000	2963
11307500	20300
11313000	11018
11321750	9906,4262,13745,4294,21684,21672,12358,10879,28481,19891,4238,27205,6242,22880
11339250	6828
11340250	26973
11362000	5330
11391250	28924
1140750	6741,14261,7868
11434750	21823,9985,7071
11493000	14661,22727,1533,12453
11494250	8676,11196
11527500	16884
11535250	16463
11552750	23448
11564250	9140,1831
11579750	12688,15217,8410
11612500	5848
11625250	18990
11632250	25022
11683250	12541
11701500	4281,4366,16481
11730000	1446,18523,12914,471
11794250	29099
1181250	8339
11874000	13844,1282,4510,18180,4220,10014
1189000	11328,12175,23628
11894500	24009
11896000	16564
11936000	13020
11939000	23260
11947000	2322,24417,15233,28967
1194750	6543,679,25169,5306,4059,27052,20551,24669,7827,7400,12737
11949750	6571,13554
11957000	23907,21078,21995
11972750	954,21693
11984750	3627
12004000	18683,15307
12008000	24274,25618,17647,4960
12015000	15138,26900,5176,22240
12027000	2322
12028500	18496,11196,21975,13390,21392,16540
12154500	7868
12173500	28370,21110,1325,554,3627,15405
12204750	7963,6571
12215000	8637,14942
12229000	17389
12231250	24274,27155,28149
12234750	26736,10176
12239250	25618
12275500	23134,7572
12371000	2254,8628,11776,17767,25086,23896,11543,17514,25570,12737
12377250	22556,3151,18075,5492
12384250	3658
1240250	20297,18392
12417500	16846,16406,15138,24601,28411,8689,10570,5478,3983
1244250	28183,4324
1247000	25635
1319000	599,5797,10449
1324500	7868
1381000	29099
140500	10480,14625,18730,3627,23779
1446250	20297,23482
145750	11578
1459000	6147
1492500	24886
1517000	4808,15086,16302,7208,27205
1525000	2257,11196
1528500	28370,26546,23774,7248
1531250	7026
154500	8689,13830,5863
1561250	12352,17706,24307,22973,21511
1579250	4078,25424
1617250	19405,5077,18002,12283
1620500	28774,1195,5833,23735
1622500	18771
1629250	9120,21392,18024,24601,19891,29099
1661750	14020,1731,22342,9802,3151,3324
1688750	3145,12220,7248
1699500	16716,24715
1710500	28065,14780
1727500	4452,3228
1758250	6571,28481,3091
1767500	14626
1782250	155,24460
1792000	20630,16540,9301,23214
1793250	2033
1806750	20701,26394
1812000	11196
1832000	10916,25687
1904750	27314,9138,23928
190500	20751
1906000	2438
1909250	20516,23470,18180,6326,504,10014,24645,15992
1911500	21815
19500	20551
1953250	6783,12394,14020,23984
1969000	12220
1971500	8316,11000,7230,22043
200250	25570
2033500	8689,712
2050000	18996,11022,21659,26866,15231,17960,5620,5306
2078000	17752,7622
2088000	15019,21883,617
2103250	25219,7567,11022,4220,28855
2138750	14120
2168250	7868
2182750	18808
2187500	23628
2198750	13054,9250
2200750	9315
2232500	11060,11000,679
2316250	9688,18180,10948
232000	21865
2331750	7179,19539,8628,27179
236000	17690,18275
2378500	26619,12886,23774,14795,19974,2669,10014
2386250	7061,948
239250	28481,12647
2428500	17153
2448250	24669
2492500	20979
252500	23656,6199,18544
266500	9657
2688750	1739,15721,155,3774,22749,3181
2704750	13592
2752000	11679,5043,3032,5667,27906,26728,14074,19405,22179,3313
2768250	23421
2771250	1494,476
2788750	10702,11431,11176,18515
2807500	11329,27117
282500	1962
2852250	21706,11682
2870250	17606,29363,14020,8327
2874500	28370,3047,7868
2891500	8027,3627
2920750	23538,22400
2940000	11767,11272
2968250	14273,16463,11624
299750	24601
3001000	21995
3009000	19014,14695,11000,5627,21840,28347,17732,12327,28411,7230,15019,12964,22393,8724
3010000	4220
3014750	2353,18558,7868
3031750	12977,14020,16110,18131,18388
3054250	12285,5448
3089500	1917
3096750	11541,15315
309750	4545,15365
3114000	20536,21092,23928
3148500	16217,4762,28561,12795,22126,7620
3168000	3082
3188000	16463,18025,26618
3211250	11076,7173
3216500	2963,28992
3226500	22240
3245250	23878
3249250	26394
3266750	5416
3282250	11857
3288250	6395
3293750	26523
